itemTitle,itemPrice,itemShop,itemUrl,itemSale,itemComment,shopUrl,itemHash
朴西买一送一情侣家居浴室拖鞋女夏室内洗澡防滑居家家用凉拖鞋男,29.80,朴西家纺专营店,https://detail.tmall.com/item.htm?id=610195304596&skuId=4611686628622692500&areaId=420100&user_id=2723127225&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.2万笔,2343,//store.taobao.com/search.htm?user_number_id=2723127225&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,e939555aa8445bc2e6e448fee66449c3
大嘴猴凉拖鞋男外穿时尚厚底卡通情侣家居家用室内防滑沙滩女夏季,22.90,港田家居专营店,https://detail.tmall.com/item.htm?id=609960883550&skuId=4354520917379&areaId=420100&user_id=458542183&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,5119笔,3657,//store.taobao.com/search.htm?user_number_id=458542183&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,7b95a82a73bede6b11fa0764a572ffa8
朴西浴室拖鞋男士夏天室内防滑洗澡家居情侣静音居家凉拖鞋女家用,29.80,朴西旗舰店,https://detail.tmall.com/item.htm?id=611275701119&skuId=4306580221491&areaId=420100&user_id=2032840798&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7.4万笔,2.7万,//store.taobao.com/search.htm?user_number_id=2032840798&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,88ac6e266d48841b12c782a39ad0e0ed
路拉迪男士人字拖夏季防滑室外穿凉拖夹脚拖鞋男夹拖橡胶沙滩鞋潮,32.00,路拉迪旗舰店,https://detail.tmall.com/item.htm?id=545652072605&skuId=3293677336327&areaId=420100&user_id=721061668&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3.5万笔,11万,//store.taobao.com/search.htm?user_number_id=721061668&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,f9200f8258e7cd7416dda92589e082ec
路路佳凉拖鞋男夏居家厚底防滑浴室拖鞋男家用凉拖鞋女洗澡拖鞋男,28.60,loloka凝梦专卖店,https://detail.tmall.com/item.htm?id=611016772634&skuId=4474097310200&areaId=420100&user_id=2187889789&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7077笔,2550,//store.taobao.com/search.htm?user_number_id=2187889789&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,30263d9bc2726ac32d2d702759b3373f
朴西大码家居拖鞋男士夏天洗澡室内厚底静音浴室防滑拖鞋家用居家,29.80,朴西旗舰店,https://detail.tmall.com/item.htm?id=580529537720&skuId=4477789575911&areaId=420100&user_id=2032840798&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7726笔,3.8万,//store.taobao.com/search.htm?user_number_id=2032840798&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,03d8a44707e45e493e83d0ca7cba4ec9
"Nike耐克官方BENASSI JDI男子拖鞋透气休闲鞋夏季CJ4608 
343880",229.00,NIKE官方旗舰店,https://detail.tmall.com/item.htm?id=542489589418&skuId=3570175040209&areaId=420100&user_id=890482188&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.0万笔,4.4万,//store.taobao.com/search.htm?user_number_id=890482188&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,2e67856dc039bff5bb13f509aa5a2219
NIKE耐克拖鞋男官网旗舰正品2020夏季男士外穿沙滩鞋鸳鸯运动凉拖,189.00,炫动运动户外专营店,https://detail.tmall.com/item.htm?id=613448145739&skuId=4370996661218&areaId=420100&user_id=612456912&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1313笔,219,//store.taobao.com/search.htm?user_number_id=612456912&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,a9c73822a8298497d032121fa3b3c586
大嘴猴凉拖鞋女夏家用室内浴室防滑家居家用男女凉鞋凉拖鞋621,45.90,天猫超市,https://detail.tmall.com/item.htm?id=565070235109&skuId=3573370756978&areaId=420100&user_id=725677994&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1988笔,1.0万,//store.taobao.com/search.htm?user_number_id=725677994&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,a4727814e73a7bc968b0d9b8ff45908d
木林森人字拖鞋男2020新款百搭男士运动凉鞋个性潮流沙滩鞋一字拖,128.00,木林森鞋类旗舰店,https://detail.tmall.com/item.htm?id=616811109861&skuId=4352693081987&areaId=420100&user_id=1782607274&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1457笔,409,//store.taobao.com/search.htm?user_number_id=1782607274&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,7e74152e535ac8140a006c2e794f7ae1
优调夏天超软底舒服踩屎感凉拖鞋女情侣防滑洗澡家居家用浴室内男,21.80,优调家居旗舰店,https://detail.tmall.com/item.htm?id=614181971045&skuId=4541990095572&areaId=420100&user_id=3258401644&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,6267笔,1.0万,//store.taobao.com/search.htm?user_number_id=3258401644&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,c1a54045d83e3175f20266a26ff55d22
流氓兔洞洞拖鞋女夏外穿防滑护士情侣手术室包头凉鞋男亲子ins潮,35.80,风铃家居专营店,https://detail.tmall.com/item.htm?id=611134170563&skuId=4355392901528&areaId=420100&user_id=1658626631&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,8775笔,2890,//store.taobao.com/search.htm?user_number_id=1658626631&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,fea8b0351643dae049e044e8cf62de0e
优调厚底不臭脚凉拖鞋女家居室内浴室洗澡防滑家用防臭夏天男静音,21.80,优调家居旗舰店,https://detail.tmall.com/item.htm?id=561490796030&skuId=3685327882465&areaId=420100&user_id=3258401644&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.6万笔,21万,//store.taobao.com/search.htm?user_number_id=3258401644&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,13596644b0ce8f538306dbbcec790c83
阿迪达斯拖鞋男2020新款官网旗舰正品男士运动拖鞋沙滩鞋女人字拖,149.00,炫动运动户外专营店,https://detail.tmall.com/item.htm?id=564904336888&skuId=4548165215357&areaId=420100&user_id=612456912&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1824笔,5395,//store.taobao.com/search.htm?user_number_id=612456912&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,ab7003476dbd5faa8552ba7902a4525d
家居凉拖鞋女士家用夏天防滑室内洗澡情侣夏季居家网红拖鞋男外穿,12.99,tzldn旗舰店,https://detail.tmall.com/item.htm?id=564697790162&skuId=4372152136586&areaId=420100&user_id=2121402114&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,11万笔,47万,//store.taobao.com/search.htm?user_number_id=2121402114&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,21885d471fd479eefa95a7573c924379
朴西拖鞋女夏天家用情侣防滑浴室内洗澡家居男静音凉拖鞋外穿厚底,39.80,朴西国通专卖店,https://detail.tmall.com/item.htm?id=612519323768&skuId=4307814244126&areaId=420100&user_id=2271078038&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,8150笔,4119,//store.taobao.com/search.htm?user_number_id=2271078038&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,c58fef79324d13777be5ea7002334ac4
李宁人字拖男士户外轻便潮流室外沙滩运动拖鞋家用防滑凉拖鞋女夏,35.00,鑫焱运动户外专营店,https://detail.tmall.com/item.htm?id=588794375053&skuId=4253983789543&areaId=420100&user_id=893021226&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,4352笔,3601,//store.taobao.com/search.htm?user_number_id=893021226&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,d31ac1494013ef973306babf36357547
凉鞋男士夏季2020新款真皮休闲沙滩鞋男软底外穿爸爸两用凉拖鞋男,34.90,承发男鞋旗舰店,https://detail.tmall.com/item.htm?id=608974662814&skuId=4611686627402050718&areaId=420100&user_id=1075169439&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,10万笔,4.4万,//store.taobao.com/search.htm?user_number_id=1075169439&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,72a551d174cbed6c23c41ec93251bf75
凉拖鞋男外穿女夏天室内居家用防滑浴室洗澡按摩大码拖鞋男士夏季,11.90,tzldn旗舰店,https://detail.tmall.com/item.htm?id=569652491995&skuId=4367746608945&areaId=420100&user_id=2121402114&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,12万笔,35万,//store.taobao.com/search.htm?user_number_id=2121402114&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,b1572e2d3a30991f24fa9633011cf762
马登男鞋2020夏季新款沙滩凉鞋ins网红潮流休闲室外穿乳胶凉拖鞋,69.90,马登旗舰店,https://detail.tmall.com/item.htm?id=616032591258&skuId=4507359006859&areaId=420100&user_id=701751992&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7954笔,1946,//store.taobao.com/search.htm?user_number_id=701751992&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,edbbf4c4ce29466b7a410bf30f58755f
路路佳拖鞋男夏室内防滑防臭浴室拖鞋家居拖鞋女家用洗澡托鞋耐磨,28.60,热多家居专营店,https://detail.tmall.com/item.htm?id=585673510462&skuId=4135217838592&areaId=420100&user_id=1758947342&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3653笔,1999,//store.taobao.com/search.htm?user_number_id=1758947342&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,7fc24c99f4fd505c7e229e9093974c8a
大嘴猴凉拖鞋夏天男士情侣软底厚底浴室防滑居家防臭室内男女家用,29.80,paulfrank问问专卖店,https://detail.tmall.com/item.htm?id=610661352523&skuId=4299017096568&areaId=420100&user_id=3293587341&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,4676笔,1605,//store.taobao.com/search.htm?user_number_id=3293587341&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,326ae97bf4650bbb66b85f495ee7eeb0
凉拖鞋夏洞洞鞋男士防滑软底情侣沙滩鞋男女潮凉鞋室外拖鞋男外穿,59.00,度兰德旗舰店,https://detail.tmall.com/item.htm?id=584900008850&skuId=4611686603327396754&areaId=420100&user_id=1773245852&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.3万笔,2.1万,//store.taobao.com/search.htm?user_number_id=1773245852&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,b867b2a49bc18338fcba95473dfc886a
快鹿小兔子居家男女浴室防滑厚底室内软底防臭凉拖鞋情侣家用9016,8.90,天猫超市,https://detail.tmall.com/item.htm?id=525790658171&skuId=3129645067210&areaId=420100&user_id=725677994&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.6万笔,13万,//store.taobao.com/search.htm?user_number_id=725677994&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,ea23b633e1f189125a3f8aba3bc3c089
凉鞋男士夏季真皮休闲沙滩鞋男潮流2020新款外穿爸爸两用凉拖鞋男,39.90,英范旗舰店,https://detail.tmall.com/item.htm?id=570068117894&skuId=4611686588495505798&areaId=420100&user_id=749197217&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,12万笔,18万,//store.taobao.com/search.htm?user_number_id=749197217&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,27e6b22083ef5e2c40f859013778d21a
南极人按摩拖鞋足底穴位鹅卵石足疗鞋男女脚底按摩鞋夏室内凉拖鞋,29.80,恋步家居专营店,https://detail.tmall.com/item.htm?id=566068369079&skuId=3757809930405&areaId=420100&user_id=773663027&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3684笔,3.2万,//store.taobao.com/search.htm?user_number_id=773663027&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,9b71fa4f3c09b4dc1628e952fac5abdc
【张继科推荐】驰绿人字拖男士拖鞋潮夏季女士外穿情侣凉拖鞋防滑,99.00,ccilu驰绿旗舰店,https://detail.tmall.com/item.htm?id=564354924155&skuId=4283422487149&areaId=420100&user_id=3062485547&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,4691笔,7133,//store.taobao.com/search.htm?user_number_id=3062485547&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,dd608a86a2b36ac18e27a0ac802fa6f7
拖鞋男2020新款夏季室外休闲防滑沙滩网红凉鞋韩版潮外穿两用凉拖,49.00,爱宝罗旗舰店,https://detail.tmall.com/item.htm?id=596090641014&skuId=4143913805382&areaId=420100&user_id=1674505041&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7769笔,1.0万,//store.taobao.com/search.htm?user_number_id=1674505041&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,aeca1b005f79add76596c5c182a2b479
拖鞋女外穿夏天家用室内卡通可爱亲子浴室防滑儿童凉拖鞋2020新款,15.90,安尚芬暖耀专卖店,https://detail.tmall.com/item.htm?id=613199590471&skuId=4611686631626978375&areaId=420100&user_id=1897618932&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,10万笔,3.0万,//store.taobao.com/search.htm?user_number_id=1897618932&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,924f5979215e491c08581eaf4472f2e3
匹克态极拖鞋男女2020新款夏季凉拖鞋太极拖鞋运动拖鞋潮沙滩拖鞋,169.00,匹克篮球旗舰店,https://detail.tmall.com/item.htm?id=597947828673&skuId=4339443107446&areaId=420100&user_id=4040032736&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,7329笔,8123,//store.taobao.com/search.htm?user_number_id=4040032736&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,eaccac2950e814256d8d6523d7d59537
中国李宁拖鞋云运动米奇男韦德之道男鞋外穿热鸳鸯魔术贴室外女潮,88.00,三棵树运动户外专营店,https://detail.tmall.com/item.htm?id=575961581998&skuId=4496659811781&areaId=420100&user_id=1944048960&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3091笔,6977,//store.taobao.com/search.htm?user_number_id=1944048960&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,bfbf9903d72ab908e018c84406d8d49b
拖鞋男防滑洗澡室内夏浴室家用居家男士软底特大码厚底夏季凉拖鞋,25.80,智庭旗舰店,https://detail.tmall.com/item.htm?id=608680925428&skuId=4273960508890&areaId=420100&user_id=3090508261&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,6472笔,2749,//store.taobao.com/search.htm?user_number_id=3090508261&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,bfbf1b73b9201d11f3f538429cba8104
男士洞洞鞋男凉鞋男潮拖鞋厚底防滑凉拖鞋男夏季一字拖男沙滩鞋男,53.00,宝超旗舰店,https://detail.tmall.com/item.htm?id=566808038759&skuId=4611686585235426663&areaId=420100&user_id=2176796437&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,9507笔,4.9万,//store.taobao.com/search.htm?user_number_id=2176796437&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,23649698739712db5d89413375572e4e
拖鞋2020新款夏季外穿潮流沙滩凉鞋韩版个性防滑室外网红男士凉拖,49.00,爱宝罗旗舰店,https://detail.tmall.com/item.htm?id=595490658547&skuId=4299288942787&areaId=420100&user_id=1674505041&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.2万笔,1.4万,//store.taobao.com/search.htm?user_number_id=1674505041&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,560ddfad92be6ed06691171fb02289d1
拖鞋男士家用夏天室内居家浴室洗澡防滑凉拖鞋软底夏季防臭托鞋女,24.50,格漫家居专营店,https://detail.tmall.com/item.htm?id=595085019427&skuId=4307122401049&areaId=420100&user_id=2188302794&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,9576笔,1.2万,//store.taobao.com/search.htm?user_number_id=2188302794&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,a937f66411e4fc3f7db84a2474c728ca
"Nike耐克官方NIKE BENASSI JDI MISMATCH男子拖鞋夏季透气
818736",229.00,NIKE官方旗舰店,https://detail.tmall.com/item.htm?id=529708584724&skuId=3159907396922&areaId=420100&user_id=890482188&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3.8万笔,9235,//store.taobao.com/search.htm?user_number_id=890482188&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,b6c91e7a38025769203a6ecad76bdfa0
Peak/匹克2020夏季新款态极2拖鞋男女情侣鞋凉拖运动拖鞋沙滩潮鞋,169.00,匹克世冠专卖店,https://detail.tmall.com/item.htm?id=596799675485&skuId=4315573334103&areaId=420100&user_id=717513321&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1399笔,730,//store.taobao.com/search.htm?user_number_id=717513321&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,82fac3d1d304dd5642964a98a8a3a55a
KENROLL科柔防滑情侣拖鞋中青年潮男女居家用浴室内洗澡拖鞋无味,89.00,kenroll旗舰店,https://detail.tmall.com/item.htm?id=568435116291&skuId=3803504106926&areaId=420100&user_id=2758210658&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1977笔,6143,//store.taobao.com/search.htm?user_number_id=2758210658&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,fa7adf85ad7e181e198acf3d982c07c6
花花公子拖鞋夏季新款外穿男士潮流人字拖室外防滑软底沙滩凉拖男,99.00,百事兴鞋类专营店,https://detail.tmall.com/item.htm?id=565506259440&skuId=3579567660461&areaId=420100&user_id=2212127667&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1768笔,5585,//store.taobao.com/search.htm?user_number_id=2212127667&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,291825f3d84bfa8ba25e4589f6d3735d
阿迪达斯拖鞋男女20夏季新鞋正品男士运动沙滩鞋户外一字拖AQ1701,159.00,腾吉运动户外专营店,https://detail.tmall.com/item.htm?id=592831352495&skuId=4544803443020&areaId=420100&user_id=384661685&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,442笔,109,//store.taobao.com/search.htm?user_number_id=384661685&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,7426d182a7c8855e5e07f5046dfd10dc
大嘴猴凉拖鞋女夏季2020新款居家室内防滑家用外穿女士拖鞋男夏天,22.90,洛肯家居专营店,https://detail.tmall.com/item.htm?id=588322455190&skuId=4339591729955&areaId=420100&user_id=2169248383&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2203笔,4355,//store.taobao.com/search.htm?user_number_id=2169248383&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,48ebe9364b63500f9013642a1500ccd6
买一送一凉拖鞋女夏天室内防滑家居家用ins网红浴室洗澡情侣托男,29.80,登山羊旗舰店,https://detail.tmall.com/item.htm?id=614529603575&skuId=4611686632956991479&areaId=420100&user_id=2287139859&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.5万笔,3281,//store.taobao.com/search.htm?user_number_id=2287139859&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,e751c882211c16390119839986d5d9df
CHARLES＆KEITH2020春季新品CK1-70380767编织带饰平底露趾凉拖女,339.00,CharlesKeith官方旗舰店,https://detail.tmall.com/item.htm?id=612294961655&skuId=4309135556308&areaId=420100&user_id=411832242&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1044笔,216,//store.taobao.com/search.htm?user_number_id=411832242&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,13ce74c802f1106bb6b30ea4952ad358
中国李宁拖鞋男迪士尼米奇联名拖鞋情侣拖鞋夜光魔术贴凉鞋拖鞋女,106.00,六月天运动专营店,https://detail.tmall.com/item.htm?id=611894093143&skuId=4306998832044&areaId=420100&user_id=2340206139&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3366笔,724,//store.taobao.com/search.htm?user_number_id=2340206139&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,cd4a20c7f10ca6f934c8ef37a720ccca
大嘴猴拖鞋夏季室内防滑女情侣浴室地板居家潮流防臭软底男士家用,29.80,翰天家居专营店,https://detail.tmall.com/item.htm?id=585918897941&skuId=4316350137386&areaId=420100&user_id=3361457242&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1052笔,2511,//store.taobao.com/search.htm?user_number_id=3361457242&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,b9d6343f596029bf18f0d34a4f3b7739
李宁拖鞋女鞋迪士尼联名款情侣运动凉拖2020休闲魔术贴凉鞋外穿男,159.00,李宁官方网店,https://detail.tmall.com/item.htm?id=611735967536&skuId=4477840699891&areaId=420100&user_id=92688455&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.3万笔,3050,//store.taobao.com/search.htm?user_number_id=92688455&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,1163caf7938dff97ef0fa7ecc83514c1
